execucao,ponto,z,n_max,j1,gn,n,qnt_q_values,Aq,pi_tau,frac_exp,ops_gn,gn1,ot,op
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,7,151,1.3067171200236771,0.005294581933412701,0.005696830863598734,0.005583061196375638,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,8,151,1.2556748201604933,0.0047525480622425675,0.005245899083092809,0.005148838186869398,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,9,151,1.292943853943143,0.005185974936466664,0.005521279032109305,0.005419373541371897,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,10,151,1.2842732478166,0.005180674837902188,0.005587573890807107,0.005419884051661938,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,11,151,1.2970011260185856,0.005307317187543958,0.005672091647284105,0.0056678830878809094,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,12,151,1.3132373579428531,0.005409876175690442,0.005734532751375809,0.005680499307345599,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,13,151,1.2976854082080536,0.005275369039736688,0.005587969732005149,0.005537678633118048,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,14,151,1.2906514029891696,0.0051751501159742475,0.005480306135723367,0.005422866699518636,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,15,151,1.2766381218098104,0.005188568844459951,0.005507346097147092,0.005486734153237194,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,16,151,1.3189536341524217,0.005355105939088389,0.005699359200662002,0.005654530046740547,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,17,151,1.2985579580417834,0.005298042233334854,0.005596449918812141,0.0054648591903969646,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,18,151,1.2685052792658098,0.0052305879653431475,0.0055081119062379,0.005378513887990266,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,19,151,1.2870984090259299,0.005374374304665253,0.005599824158707634,0.005553843977395445,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,20,151,1.2925293539301492,0.005426785995950922,0.005607095052255318,0.005514229676919058,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,21,151,1.2960189569275826,0.005404447059845552,0.005559499288210645,0.005473346711369231,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,20.0,l2,33,86.84028765597031,43.422063308011275,1,151,1.3477122050244361,0.005427926138509065,0.005806068074889481,0.005745901173213497,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,2,151,1.3134157559543382,0.0053256248065736145,0.005775144032668322,0.005795316828880459,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,3,151,1.3116166341933422,0.00528594120987691,0.005683897965354845,0.00565072352765128,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,4,151,1.3138360171287786,0.005261638027150184,0.005671830876963213,0.005658358219079673,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,5,151,1.3078638670558576,0.00519054924370721,0.0055828669865150005,0.005585053964750841,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,6,151,1.3094371018232778,0.005251781054539606,0.00565693192766048,0.005654900800436735,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,7,151,1.3135470578854438,0.005249660869594663,0.005649061844451353,0.005630677886074409,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,8,151,1.2820920048397966,0.005088361096568406,0.005478880106238648,0.005473307828651741,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,9,151,1.2916479699488264,0.005169471027329564,0.005610220076050609,0.005497819016454741,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,10,151,1.3165057899605017,0.005406691081589088,0.005766043002950028,0.005737036030041054,43.40005992009537,0.008938221988501027,0.0078942880500108
0,20.0,l2,33,86.84028765597031,43.422063308011275,11,151,1.3143852108041756,0.005317326955264434,0.005662365903845057,0.005650337116094306,43.40005992009537,0.008938221988501027,0.0078942880500108
